,Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
95,spotify:track:2C6l8EGcbfcLXu0mWfAadB,Chup Chup Ke,spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy,68,"['filmi', 'modern bollywood']",Bunty Aur Babli,50,0.715,0.743,6,-7.491,0,0.0337,0.339,0.00217,0.0983,0.259,116.962,433920,4
96,spotify:track:1i8iShQ9F1HXxnufDuF4Mm,Teri Ore,spotify:artist:3OLGltG8UPIea8sA4w0yg0,Rahat Fateh Ali Khan,72,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",Rahat Fateh Ali Khan,50,0.483,0.797,2,-4.629,1,0.0975,0.173,0.0,0.267,0.699,83.542,339592,4
97,spotify:track:2tqCK7OS3BU5pvLIXtObvj,Jaane Dil Mein,spotify:artist:61JrslREXq98hurYL2hYoc,Lata Mangeshkar,75,"['classic bollywood', 'filmi', 'lata']",Mujhse Dosti Karoge,50,0.633,0.778,7,-11.266,0,0.0421,0.353,0.000862,0.21,0.813,104.827,345809,4
98,spotify:track:6yN6AP2qkoGIjhF3VzUOkO,Kahin Pyaar Na Ho Jaaye,spotify:artist:3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,79,"['filmi', 'hare krishna', 'modern bollywood']",Kahin Pyaar Na Ho Jaaye (Original Motion Picture Soundtrack),49,0.622,0.748,1,-7.73,1,0.0437,0.161,0.0,0.1,0.725,128.844,318547,4
99,spotify:track:09alvUm3cAzvGc3xMg0WZz,Roshni Se,spotify:artist:71hjb5G92mGoKRSAW3Cj00,Anu Malik,61,"['filmi', 'modern bollywood']",Asoka (Original Motion Picture Soundtrack),48,0.528,0.471,5,-7.763,1,0.0305,0.408,9.63e-05,0.217,0.251,137.103,400253,4
0,spotify:track:7fyiYhn7STpHvT5g0lbncC,Ik Vaari Aa,spotify:artist:1wRPtKGflJrBx9BmLsSwlU,Pritam,86,"['filmi', 'indian instrumental', 'modern bollywood']",Raabta,68,0.512,0.752,4,-4.857,0,0.0534,0.305,0.0,0.708,0.428,127.965,274687,4
1,spotify:track:2EKXTA9QxkW6XeQ2uEeIii,Nashe Si Chadh Gayi,spotify:artist:4YRxDV8wJFPHPTeXepOstw,Arijit Singh,89,"['filmi', 'modern bollywood']",Best of Arijit Singh,50,0.8,0.779,4,-5.515,0,0.0553,0.113,0.0,0.206,0.266,96.948,238289,4
2,spotify:track:48pyUxg9RYuwie5M9R7qRn,Sooraj Dooba Hain,spotify:artist:4YRxDV8wJFPHPTeXepOstw,Arijit Singh,89,"['filmi', 'modern bollywood']",Roy,70,0.616,0.75,2,-4.629,1,0.0594,0.172,0.0,0.137,0.434,128.051,264854,4
3,spotify:track:0rk2X5TAhraBC5aCIXK2Rq,Samjhawan,spotify:artist:2gXOOKY8mmJG6iwHrTq9gp,Jawad Ahmad,58,"['classic pakistani pop', 'modern bollywood', 'pakistani pop']",Samjhawan,70,0.651,0.482,4,-8.666,1,0.0281,0.293,0.0,0.0811,0.517,106.993,269185,4
4,spotify:track:6FjbAnaPRPwiP3sciEYctO,Raabta,spotify:artist:1wRPtKGflJrBx9BmLsSwlU,Pritam,86,"['filmi', 'indian instrumental', 'modern bollywood']",Agent Vinod,76,0.657,0.581,0,-8.108,1,0.0298,0.699,1.82e-05,0.116,0.323,118.037,243578,4
5,spotify:track:39TJkE0AEkfWii8VB3JqSV,Tu Meri,spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,75,"['filmi', 'modern bollywood']",Bang Bang (Original Motion Picture Soundtrack),0,0.679,0.688,8,-5.522,1,0.0293,0.0773,0.0,0.704,0.424,127.951,257089,4
6,spotify:track:4BOYIpYF7zTYtAkpjoD687,,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,,0,[],,0,0.539,0.551,8,-7.351,1,0.0361,0.651,0.0,0.124,0.556,75.899,286380,4
